# ghfkdsjgbfkadrjehbgfadrg
0 | Hegmann Inc | 296
1 | Russel-Flatley | 439
2 | Runolfsson Steuber and Lakin | 708
3 | Hirthe PLC | 56
4 | Wolf-Huels | 561
5 | Prod | 200
# kldjjgbfdsjgbvkdsjgbfdskhjbhgfd
0 | Cremin Herman and Beatty | 48
1 | Labadie Mante and Hackett | 183
2 | Bednar Welch and Baumbach | 212
3 | Moen Marks and Schaefer | 105
4 | Wintheiser PLC | 200
5 | Apt | 100
# aliuwjgfdklijghfdskjghvbfdsjk
0 | 0 | 256 | 87
0 | 1 | 205 | 99
0 | 2 | 288 | 64
0 | 3 | 195 | 71
0 | 4 | 214 | 94
0 | 5 | 214 | 94
1 | 0 | 293 | 75
1 | 1 | 294 | 80
1 | 2 | 401 | 67
1 | 3 | 332 | 61
1 | 4 | 429 | 86
1 | 5 | 214 | 94
2 | 0 | 576 | 65
2 | 1 | 648 | 65
2 | 2 | 608 | 87
2 | 3 | 486 | 81
2 | 4 | 458 | 79
2 | 5 | 214 | 94
3 | 0 | 30 | 86
3 | 1 | 53 | 68
3 | 2 | 36 | 93
3 | 3 | 55 | 65
3 | 4 | 54 | 83
3 | 5 | 214 | 94
4 | 0 | 501 | 83
4 | 1 | 481 | 74
4 | 2 | 508 | 63
4 | 3 | 290 | 79
4 | 4 | 287 | 99
4 | 5 | 214 | 94
5 | 0 | 501 | 83
5 | 1 | 481 | 74
5 | 2 | 508 | 63
5 | 3 | 290 | 79
5 | 4 | 287 | 99
5 | 5 | 214 | 94
