# ghfkdsjgbfkadrjehbgfadrg
0 | Hegmann Inc | 296
1 | Russel-Flatley | 439
2 | Runolfsson Steuber and Lakin | 708
3 | Hirthe PLC | 56
4 | Wolf-Huels | 561
5 | Farrell Ltd | 689
6 | Keebler Schmidt and Fahey | 183
7 | Huel Raynor and Wunsch | 80
# kldjjgbfdsjgbvkdsjgbfdskhjbhgfd
0 | Cremin Herman and Beatty | 48
1 | Labadie Mante and Hackett | 183
2 | Bednar Welch and Baumbach | 212
3 | Moen Marks and Schaefer | 105
4 | Wintheiser PLC | 200
5 | Kunde Padberg and Carroll | 225
6 | Conroy LLC | 145
7 | Cummerata-Price | 143
# aliuwjgfdklijghfdskjghvbfdsjk
0 | 0 | 256 | 87.88
0 | 1 | 205 | 99.12
0 | 2 | 288 | 64.85
0 | 3 | 195 | 71.51
0 | 4 | 214 | 94
0 | 5 | 293 | 65.14
0 | 6 | 247 | 68.22
0 | 7 | 230 | 76.83
1 | 0 | 293 | 75.98
1 | 1 | 294 | 80.04
1 | 2 | 401 | 67.84
1 | 3 | 332 | 61.81
1 | 4 | 429 | 86.02
1 | 5 | 358 | 83.02
1 | 6 | 328 | 65.7
1 | 7 | 310 | 91.53
2 | 0 | 576 | 65.43
2 | 1 | 648 | 65.24
2 | 2 | 608 | 87.16
2 | 3 | 486 | 81.07
2 | 4 | 458 | 79.6
2 | 5 | 700 | 97.94
2 | 6 | 606 | 61.52
2 | 7 | 608 | 89.11
3 | 0 | 30 | 86.62
3 | 1 | 53 | 68.69
3 | 2 | 36 | 93.45
3 | 3 | 55 | 65.07
3 | 4 | 54 | 83.62
3 | 5 | 28 | 63.38
3 | 6 | 41 | 87.76
3 | 7 | 46 | 74.63
4 | 0 | 501 | 83.71
4 | 1 | 481 | 74.41
4 | 2 | 508 | 63.69
4 | 3 | 290 | 79.91
4 | 4 | 287 | 99.96
4 | 5 | 347 | 99.32
4 | 6 | 397 | 81.27
4 | 7 | 487 | 65.5
5 | 0 | 559 | 76.74
5 | 1 | 459 | 73.15
5 | 2 | 423 | 91.66
5 | 3 | 677 | 89.25
5 | 4 | 521 | 96.34
5 | 5 | 593 | 77.57
5 | 6 | 559 | 82.12
5 | 7 | 405 | 75.58
6 | 0 | 177 | 72.1
6 | 1 | 168 | 69.61
6 | 2 | 123 | 73.12
6 | 3 | 103 | 66.65
6 | 4 | 181 | 62.57
6 | 5 | 101 | 79.22
6 | 6 | 180 | 95.03
6 | 7 | 139 | 60.84
7 | 0 | 45 | 77.75
7 | 1 | 48 | 82.07
7 | 2 | 53 | 80.14
7 | 3 | 72 | 89.91
7 | 4 | 50 | 68.39
7 | 5 | 44 | 94.41
7 | 6 | 57 | 65.91
7 | 7 | 55 | 92.19

